PTS,MATCHUP,Player Name,Player ID,Opponent Team
18,ATL vs. BOS,Trae Young,1629027,BOS
27,ATL vs. BOS,Trae Young,1629027,BOS
35,ATL vs. BOS,Trae Young,1629027,BOS
31,ATL @ BOS,Trae Young,1629027,BOS
21,ATL vs. BOS,Trae Young,1629027,BOS
33,ATL vs. BOS,Trae Young,1629027,BOS
31,ATL @ BOS,Trae Young,1629027,BOS
40,ATL @ BOS,Trae Young,1629027,BOS
30,ATL @ BOS,Trae Young,1629027,BOS
21,ATL @ BKN,Trae Young,1629027,BKN
10,ATL @ BKN,Trae Young,1629027,BKN
28,ATL vs. BKN,Trae Young,1629027,BKN
21,ATL @ BKN,Trae Young,1629027,BKN
34,ATL vs. BKN,Trae Young,1629027,BKN
30,ATL @ BKN,Trae Young,1629027,BKN
31,ATL vs. BKN,Trae Young,1629027,BKN
33,ATL @ BKN,Trae Young,1629027,BKN
36,ATL vs. BKN,Trae Young,1629027,BKN
28,ATL vs. CHA,Trae Young,1629027,CHA
19,ATL vs. CHA,Trae Young,1629027,CHA
9,ATL @ CHA,Trae Young,1629027,CHA
30,ATL @ CHA,Trae Young,1629027,CHA
25,ATL vs. CHA,Trae Young,1629027,CHA
15,ATL @ CHA,Trae Young,1629027,CHA
7,ATL vs. CHA,Trae Young,1629027,CHA
25,ATL @ CHA,Trae Young,1629027,CHA
31,ATL @ CHA,Trae Young,1629027,CHA
25,ATL vs. CHA,Trae Young,1629027,CHA
33,ATL vs. CHI,Trae Young,1629027,CHI
39,ATL vs. CHI,Trae Young,1629027,CHI
21,ATL @ CHI,Trae Young,1629027,CHI
14,ATL @ CHI,Trae Young,1629027,CHI
26,ATL @ CHI,Trae Young,1629027,CHI
29,ATL vs. CHI,Trae Young,1629027,CHI
37,ATL @ CHI,Trae Young,1629027,CHI
34,ATL vs. CHI,Trae Young,1629027,CHI
19,ATL vs. CHI,Trae Young,1629027,CHI
42,ATL vs. CHI,Trae Young,1629027,CHI
24,ATL @ CLE,Trae Young,1629027,CLE
25,ATL @ CLE,Trae Young,1629027,CLE
30,ATL vs. CLE,Trae Young,1629027,CLE
16,ATL vs. CLE,Trae Young,1629027,CLE
14,ATL vs. CLE,Trae Young,1629027,CLE
16,ATL vs. CLE,Trae Young,1629027,CLE
34,ATL vs. CLE,Trae Young,1629027,CLE
28,ATL @ CLE,Trae Young,1629027,CLE
41,ATL vs. CLE,Trae Young,1629027,CLE
